scheduled_hour,records,mean_deviation_seconds,median_deviation_seconds,std_deviation_seconds,p90_deviation_seconds,p95_deviation_seconds,early_percent,on_time_percent,late_percent
0.0,56382,82.513,66.0,156.261,251.0,331.0,11.612,69.265,19.123
1.0,15926,-0.138,-4.0,169.313,188.0,279.0,31.1,58.282,10.618
2.0,452,-61.92,-82.0,244.613,279.8,315.9,52.876,25.221,21.903
5.0,3688,63.997,57.0,248.806,310.0,395.0,14.534,65.049,20.418
6.0,120653,90.368,66.0,174.036,258.0,354.0,6.305,74.508,19.187
7.0,237543,96.055,71.0,162.526,267.0,360.0,7.822,71.785,20.393
8.0,266867,125.544,95.0,178.628,327.0,427.0,7.526,63.946,28.528
9.0,231240,94.445,76.0,140.461,261.0,334.0,8.271,70.813,20.915
10.0,214406,96.793,76.0,151.077,275.0,362.0,9.268,68.681,22.051
11.0,196371,105.196,83.0,158.074,296.0,381.0,9.335,65.603,25.062
12.0,191322,110.335,85.0,169.806,313.0,406.0,9.832,63.765,26.403
13.0,195813,116.299,84.0,184.78,323.0,436.0,8.933,64.188,26.879
14.0,216443,115.138,89.0,188.871,328.0,437.0,10.585,62.178,27.238
15.0,281897,149.75,110.0,227.346,417.0,572.0,10.338,55.28,34.382
16.0,267591,111.63,90.0,170.016,312.0,414.0,10.029,63.649,26.322
17.0,269428,100.348,80.0,166.324,297.0,393.0,11.343,64.119,24.538
18.0,219146,105.989,83.0,165.539,298.0,393.0,9.964,65.228,24.808
19.0,177979,92.658,71.0,158.601,276.0,367.0,10.684,67.859,21.457
20.0,150703,103.379,82.0,169.412,292.0,384.0,10.736,65.365,23.899
21.0,120140,105.335,81.0,166.165,287.0,382.0,9.055,67.213,23.731
22.0,93962,92.982,67.0,176.65,285.0,395.0,12.192,66.089,21.718
23.0,90147,98.441,76.0,160.133,280.0,364.0,10.069,66.755,23.175
