route_name,records,mean_deviation_seconds,median_deviation_seconds,std_deviation_seconds,p90_deviation_seconds,p95_deviation_seconds,early_percent,on_time_percent,late_percent
1,415714,137.077,110.0,184.21,349.0,450.0,7.782,59.422,32.796
2,327177,131.595,103.0,173.502,324.0,429.0,6.281,64.664,29.055
3,498202,100.238,81.0,167.237,286.0,382.0,10.819,65.659,23.522
4,220449,56.375,45.0,135.454,207.0,268.0,14.277,72.262,13.461
5,142575,68.85,49.0,130.245,206.0,275.0,8.825,78.054,13.122
6,81302,104.202,93.0,143.783,267.0,344.0,6.79,70.964,22.247
7,609505,92.161,67.0,163.127,285.0,383.0,11.18,67.006,21.814
9,610136,116.565,96.0,177.111,328.0,420.0,10.647,59.505,29.848
10,61238,74.907,55.0,150.042,235.0,325.0,11.741,72.212,16.047
13,53503,124.289,105.0,204.822,358.0,457.0,11.568,56.915,31.518
14,84190,81.606,53.0,164.392,253.0,387.0,10.545,73.386,16.068
16,141720,90.309,69.0,145.247,255.0,338.0,8.024,72.9,19.076
17,250666,110.215,80.0,172.595,292.0,401.0,6.85,69.854,23.296
18,77715,119.513,95.0,192.248,318.0,418.0,9.27,64.262,26.469
70,3196,545.047,563.0,333.904,879.0,1005.25,2.847,9.543,87.61
71,1516,67.871,79.0,223.312,344.5,402.25,18.074,63.325,18.602
72,3855,121.334,111.0,197.646,279.0,353.0,4.591,67.315,28.093
73,6716,416.235,319.0,381.519,960.0,1087.75,4.229,30.509,65.262
74,2292,426.413,392.0,274.765,706.0,856.35,0.785,10.689,88.525
75,1858,116.962,71.0,224.681,181.0,242.15,0.7,89.236,10.065
76,655,192.159,201.0,227.403,431.2,520.6,7.939,37.252,54.809
77,1826,134.067,119.5,244.167,445.0,538.0,17.634,42.278,40.088
78,752,68.247,28.5,264.998,316.9,677.45,22.473,58.644,18.883
79,7058,133.503,83.0,236.352,398.0,495.15,8.629,62.879,28.492
80,1786,254.526,190.5,346.67,747.0,852.0,14.614,34.378,51.008
81,12497,391.352,320.0,343.37,844.4,1017.0,2.553,28.655,68.793
