stop_id,stop_name,records,mean_deviation_seconds,median_deviation_seconds,std_deviation_seconds,p90_deviation_seconds,p95_deviation_seconds,early_percent,on_time_percent,late_percent
104264,6th Ave at Victoria St,42233,44.789,19.0,211.695,313.0,427.0,31.62,47.432,20.948
104402,McGill Rd at University Dr,33237,130.27,112.0,170.821,333.0,423.0,9.992,57.397,32.611
104263,Seymour St at 4th Ave,31330,41.531,23.0,210.667,292.0,406.0,32.665,48.015,19.32
104439,McGill Rd at Dalhousie Dr,30061,149.695,116.0,168.582,361.0,458.0,4.102,61.292,34.606
104406,University Dr at McGill Rd,27465,116.542,80.0,142.242,297.0,378.0,2.155,71.819,26.026
104403,Campus Dr at McGill Rd,27408,88.074,76.0,165.363,284.0,363.0,16.324,59.173,24.504
104404,Campus Dr at WolfPack Rd,27365,95.595,86.0,168.38,294.6,371.0,15.582,57.785,26.633
104577,Lansdowne Exch Bay B,22454,11.908,14.0,204.275,212.0,320.0,26.32,61.539,12.14
104438,Campus Dr at WolfPack Rd,22141,123.095,91.0,170.909,333.0,441.0,7.285,64.46,28.255
104436,Hillside Dr at McGill Rd,22081,101.889,69.0,170.894,317.0,425.0,11.222,64.309,24.469
104393,Columbia St at 3rd Ave,21614,169.586,148.0,133.924,324.0,407.0,1.147,60.354,38.498
104585,Springhill Dr at Gleneagles Dr S,19658,73.209,41.0,152.338,260.0,347.0,13.175,67.743,19.081
104260,200 Blk Victoria St W,19263,60.66,27.0,206.068,314.0,427.9,28.723,49.214,22.063
104261,Seymour St at 1st Ave,19228,20.525,0.0,207.176,267.0,384.0,36.093,45.09,18.816
104262,Seymour St at 3rd Ave,19215,34.424,1.0,210.971,290.0,409.0,35.129,45.86,19.011
104504,Lansdowne Exch Bay C,19000,15.469,15.0,223.558,220.0,352.0,25.653,61.7,12.647
104437,TRU Exch Bay D,18603,116.37,80.0,174.841,339.0,445.0,8.423,63.968,27.608
104440,McGill Rd at Summit Dr,18572,146.743,114.0,183.928,377.0,483.0,7.28,58.254,34.466
104401,McGill Rd at Summit Dr,18568,125.876,108.0,140.177,289.0,365.0,4.955,66.819,28.226
104200,Lansdowne Exch Bay I,18541,52.647,43.0,238.44,293.0,416.0,18.829,62.688,18.483
