cycle,candidate,month,rows,mae,rmse,within_60,within_120,p90_error
1,original_grouped,2026-03-01,611755,106.22919959787824,158.4843876368686,0.43320446910936566,0.7005157293360904,236.0
1,original_grouped,2026-04-01,579287,117.78470257402634,178.14795097734745,0.40615273603585095,0.6656907543238498,262.0
1,original_grouped,2026-05-01,573555,108.09564034835368,162.1502941092464,0.4221617804744096,0.6945140396300268,236.0
1,half_hour,2026-03-01,611755,104.39296613840509,156.38832608898366,0.4424124036583273,0.7077539210958635,233.5
1,half_hour,2026-04-01,579287,116.11579838663737,176.26379084238857,0.41312855285894556,0.671580753581558,259.0
1,half_hour,2026-05-01,573555,111.31430900262399,164.8540096123588,0.4063254613768514,0.675281359241921,241.0
1,quarter_hour,2026-03-01,611755,102.69154318313704,154.46759108648962,0.4493432828501606,0.7138805567588332,229.5
1,quarter_hour,2026-04-01,579287,113.60028103513457,171.50079727486943,0.41675024642362074,0.6761881416292788,253.0
1,quarter_hour,2026-05-01,573555,113.05274036491706,166.63894498685133,0.3985145278133745,0.6685845298184132,244.0
1,schedule_slot,2026-03-01,611755,101.41138854606828,152.26639607704647,0.4538647007380406,0.714979035725086,227.0
1,schedule_slot,2026-04-01,579287,113.26744946805297,170.8257149540505,0.41753914726206526,0.6766248854194898,252.0
1,schedule_slot,2026-05-01,573555,113.47527961572996,167.01507629213708,0.3957528048748594,0.6669473720916042,245.0
1,recent_56d,2026-03-01,611755,104.5309985206496,156.498257061822,0.44209691788379335,0.7069594854149128,234.0
1,recent_56d,2026-04-01,579287,115.83974869106332,175.35163234966774,0.4111813315334195,0.670175577908705,257.0
1,recent_56d,2026-05-01,573555,109.80706819747016,162.80511986497652,0.4116867606419611,0.6815858984752988,238.0
1,recent_28d,2026-03-01,611755,105.02679095389495,155.32105464389738,0.43283340552999156,0.6995529255993004,232.0
1,recent_28d,2026-04-01,579287,118.57919304248153,178.68160267295713,0.40299885894211335,0.6601977948754244,264.0
1,recent_28d,2026-05-01,573555,111.54144153568534,162.4323947959534,0.39764800237117626,0.6691738368595863,241.0
1,recent_slot_56d,2026-03-01,611755,102.353418443658,153.307727403068,0.4502488741407917,0.7095879886555893,228.0
1,recent_slot_56d,2026-04-01,579287,113.61205671799989,170.44502853725422,0.41383977199557387,0.672745979108801,252.5
1,recent_slot_56d,2026-05-01,573555,115.29739780840548,167.363673724452,0.3867388480616506,0.6541029195107706,249.0
1,day_type,2026-03-01,611755,103.9937009096779,156.3298149451221,0.44566207060015856,0.7092577911091859,234.0
1,day_type,2026-04-01,579287,116.12063881979054,176.57919904736562,0.41412805742231396,0.6722229223165719,259.5
1,day_type,2026-05-01,573555,108.63833982791537,162.1446212167927,0.41826677476440793,0.6878276712782558,236.0
2,schedule_slot_weekly,2026-03-01,611755,99.57665078340185,150.03214891156907,0.4605324026775425,0.7211775956060842,222.0
2,schedule_slot_weekly,2026-04-01,579287,111.3003295430417,168.36547077884777,0.4237502308872804,0.6838199372677102,248.0
2,schedule_slot_weekly,2026-05-01,573555,110.04337421868871,163.23849900319684,0.40896513847843713,0.681195351797125,238.0
