route_name,rows,mae,baseline_mae,month
1,72476,111.60776670897953,117.13909432087864,2026-03-01
10,10035,74.26028898854011,76.899451918286,2026-03-01
13,9031,102.8732698483003,110.61327649208283,2026-03-01
14,13669,84.38682420074622,89.23889823688639,2026-03-01
16,23611,90.05486849349879,89.44028207191563,2026-03-01
17,42796,102.76975651930087,107.83025282736705,2026-03-01
18,13183,102.94417052264279,109.0882955321247,2026-03-01
2,55958,96.78001358161478,100.90596518817685,2026-03-01
3,85038,92.30323502434206,99.6743455866789,2026-03-01
4,37326,74.58123024165461,80.34040615120827,2026-03-01
5,23585,72.9256942972228,78.35533177867289,2026-03-01
6,13235,86.02213826973933,92.13494522100491,2026-03-01
7,104116,95.89742690844827,103.3521168696454,2026-03-01
70,324,151.78703703703704,222.5679012345679,2026-03-01
71,127,25.405511811023622,30.051181102362204,2026-03-01
72,346,60.00722543352601,57.80635838150289,2026-03-01
73,685,146.08248175182482,188.52043795620438,2026-03-01
74,295,217.30677966101695,224.44745762711864,2026-03-01
75,176,25.786931818181817,26.87215909090909,2026-03-01
76,50,116.34,114.0,2026-03-01
77,213,273.293427230047,261.15492957746477,2026-03-01
78,38,91.75,91.02631578947368,2026-03-01
79,749,115.37983978638184,116.28838451268358,2026-03-01
80,91,313.010989010989,306.8131868131868,2026-03-01
81,1356,194.4915191740413,200.18547197640117,2026-03-01
9,103246,121.44495186254188,132.1577833523817,2026-03-01
1,65133,135.3357207559916,143.69184591528105,2026-04-01
10,9300,92.73322580645161,91.82983870967742,2026-04-01
13,8552,115.1146515434986,119.04572029934518,2026-04-01
14,13580,91.49293078055965,93.54108983799705,2026-04-01
16,23184,90.56329796411318,93.33488612836439,2026-04-01
17,40523,108.1917429607877,108.72859857364953,2026-04-01
18,12726,106.91941694169417,114.62879145057363,2026-04-01
2,53859,113.11708349579457,122.2154885905791,2026-04-01
3,81008,107.74572264467707,116.61170501678846,2026-04-01
4,34510,88.85499855114459,88.97603593161402,2026-04-01
5,21256,87.39791117802032,89.62591738803161,2026-04-01
6,12561,89.47774858689594,94.88551866889578,2026-04-01
7,97809,109.11502520217977,115.6630933758652,2026-04-01
70,555,214.60900900900901,233.52252252252254,2026-04-01
71,210,70.42619047619047,65.91904761904762,2026-04-01
72,666,70.84834834834835,67.37612612612612,2026-04-01
73,1148,161.5762195121951,173.98998257839722,2026-04-01
74,409,261.6246943765281,255.16992665036676,2026-04-01
75,285,45.62982456140351,47.49298245614035,2026-04-01
76,61,103.41803278688525,115.5,2026-04-01
77,420,174.53690476190476,176.16071428571428,2026-04-01
78,63,93.93650793650794,92.76190476190476,2026-04-01
79,1187,190.72746419545072,196.93555181128897,2026-04-01
80,413,237.5641646489104,248.50726392251815,2026-04-01
81,2223,322.0119208277103,343.20130454340983,2026-04-01
9,97646,118.51545378202896,128.00908383343915,2026-04-01
1,64178,129.97826357941975,128.65139144255042,2026-05-01
10,8089,81.53795277537397,81.3778588206206,2026-05-01
13,8850,101.88446327683616,108.00242937853108,2026-05-01
14,13623,85.63833223225427,82.71962856933128,2026-05-01
16,23070,91.04679237104465,93.74902470741222,2026-05-01
17,40349,95.48405164935934,87.29746709955637,2026-05-01
18,12630,110.55688836104513,112.27406967537608,2026-05-01
2,52364,127.81509242991368,126.50157550989229,2026-05-01
3,80281,111.32042450891244,110.25601948157099,2026-05-01
4,34546,91.30327679036647,86.4510797197939,2026-05-01
5,22513,76.27561853151512,75.38140185670501,2026-05-01
6,12766,99.81532978223406,96.29132069559768,2026-05-01
7,97587,105.6182944449568,105.6519259737465,2026-05-01
70,510,185.47058823529412,178.74313725490197,2026-05-01
71,223,102.45964125560538,103.87892376681614,2026-05-01
72,650,70.50076923076924,68.14,2026-05-01
73,1107,161.29674796747966,153.76784101174346,2026-05-01
74,354,142.635593220339,152.31214689265536,2026-05-01
75,322,37.28105590062112,33.72826086956522,2026-05-01
76,67,100.43283582089552,116.50746268656717,2026-05-01
77,214,138.16121495327104,148.35046728971963,2026-05-01
78,60,145.875,144.46666666666667,2026-05-01
79,1160,103.5073275862069,99.29008620689655,2026-05-01
80,404,196.34282178217822,177.0990099009901,2026-05-01
81,2100,295.3445238095238,285.38738095238097,2026-05-01
9,95538,118.7532657162595,114.83887563063912,2026-05-01
1,61709,120.19700529906497,119.02694906739697,2026-06-01
10,8262,80.95346163156621,82.70860566448802,2026-06-01
13,8891,107.41052749971881,107.87566078056462,2026-06-01
14,13909,80.29876339061039,80.99076137752535,2026-06-01
16,21884,78.42928623651983,80.54989946993237,2026-06-01
17,41161,88.82681421734166,87.33515949563908,2026-06-01
18,12274,102.66355711259573,105.39709956004563,2026-06-01
2,52919,120.22202800506435,116.90059335966288,2026-06-01
3,79902,107.17858126204601,108.45306750769693,2026-06-01
4,34738,85.71751396165583,85.80725718233634,2026-06-01
5,23389,72.18168797297875,74.17583051861986,2026-06-01
6,12692,89.64501260636621,90.75843050740625,2026-06-01
7,98981,98.51876117638739,100.75550863296996,2026-06-01
70,526,177.10551330798478,178.05608365019012,2026-06-01
71,215,68.45813953488373,68.55348837209303,2026-06-01
72,691,58.25180897250362,55.82127351664255,2026-06-01
73,1076,126.17007434944237,142.12639405204462,2026-06-01
74,304,114.75822368421052,139.4753289473684,2026-06-01
75,293,42.267918088737204,40.21331058020478,2026-06-01
76,62,94.19354838709677,110.61290322580645,2026-06-01
77,288,199.94097222222223,194.86979166666666,2026-06-01
78,63,83.73015873015873,84.86507936507937,2026-06-01
79,1110,140.63288288288288,133.66306306306305,2026-06-01
80,333,282.3288288288288,281.92042042042044,2026-06-01
81,1962,268.14322120285425,265.5642201834862,2026-06-01
9,95998,101.49767182649639,99.54511031479822,2026-06-01
