hour,rows,mae,baseline_mae,within120
5,1739,131.33686490522845,134.68976423231743,0.6492236917768832
6,58212,86.95138661977148,89.45086064728922,0.7938741153026867
7,115005,89.76858714527722,92.59437415764532,0.7639493935046302
8,129940,109.41716917862115,110.92839772202555,0.6801446821609974
9,113320,91.56002091866117,95.3532297917402,0.7467702082597952
10,104980,99.57804555281547,103.62259954277005,0.7176319298914079
11,95752,107.18284382647815,111.6782887041524,0.6778448491937505
12,93429,104.34072852335493,112.38858384441662,0.6921940725042546
13,95507,109.19862822421403,113.74171003172542,0.6832378778518852
14,105812,112.31181466826675,117.58207008656863,0.6629588326465807
15,136996,135.72394952914766,141.33942231889984,0.6025431399456919
16,131181,109.29760794227086,113.39668092177983,0.6833230422088564
17,131916,102.84895313034522,110.06031110706813,0.6969662512507959
18,106606,103.95644774047972,111.91845205710747,0.7007297900681012
19,86768,99.96632430662643,109.28542204499355,0.7124400700719159
20,73809,105.5082173125716,113.96429974664336,0.7014998170954762
21,58714,103.3154935793044,112.54550022141227,0.7162005654528733
22,45757,109.62413515352709,118.39911926044103,0.6907139891164193
23,44233,98.69025524021862,103.7762304162051,0.7204123618113173
24,27174,87.60294215758243,93.39109074850961,0.7619047619047619
25,7543,105.153790578346,99.68911573644438,0.688055150470635
26,204,206.91590914438262,204.40441176470588,0.25980392156862747
